SiteName,MonitorDate,AQI
觀音,2021/9/1,56
大園,2021/9/1,51
中壢,2021/9/2,66
龍潭,2021/9/2,57
平鎮,2021/9/2,66
觀音,2021/9/2,54
大園,2021/9/2,57
桃園,2021/9/2,58
大園,2021/9/3,37
桃園,2021/9/3,50
中壢,2021/9/3,54
龍潭,2021/9/3,47
平鎮,2021/9/3,50
觀音,2021/9/3,29
觀音,2021/9/4,36
桃園,2021/9/4,33
大園,2021/9/4,33
平鎮,2021/9/4,42
龍潭,2021/9/4,29
中壢,2021/9/4,55
桃園,2021/9/5,31
大園,2021/9/5,31
觀音,2021/9/5,28
平鎮,2021/9/5,32
龍潭,2021/9/5,42
中壢,2021/9/5,37
平鎮,2021/9/6,37
中壢,2021/9/6,54
龍潭,2021/9/6,45
桃園,2021/9/6,45
大園,2021/9/6,43
觀音,2021/9/6,37
中壢,2021/9/7,51
龍潭,2021/9/7,71
平鎮,2021/9/7,47
觀音,2021/9/7,40
大園,2021/9/7,36
桃園,2021/9/7,49
龍潭,2021/9/8,44
桃園,2021/9/8,45
大園,2021/9/8,38
中壢,2021/9/8,51
觀音,2021/9/8,32
平鎮,2021/9/8,37
中壢,2021/9/9,55
桃園,2021/9/9,45
龍潭,2021/9/9,87
平鎮,2021/9/9,48
觀音,2021/9/9,49
大園,2021/9/9,44
觀音,2021/9/10,46
中壢,2021/9/10,60
龍潭,2021/9/10,93
平鎮,2021/9/10,50
大園,2021/9/10,39
桃園,2021/9/10,32
觀音,2021/9/11,40
大園,2021/9/11,23
桃園,2021/9/11,15
平鎮,2021/9/11,28
中壢,2021/9/11,53
龍潭,2021/9/11,30
龍潭,2021/9/12,19
平鎮,2021/9/12,16
觀音,2021/9/12,20
大園,2021/9/12,19
桃園,2021/9/12,17
中壢,2021/9/12,18
平鎮,2021/9/13,36
觀音,2021/9/13,45
大園,2021/9/13,44
桃園,2021/9/13,39
中壢,2021/9/13,45
龍潭,2021/9/13,41
龍潭,2021/9/14,34
觀音,2021/9/14,24
中壢,2021/9/14,42
大園,2021/9/14,22
桃園,2021/9/14,28
平鎮,2021/9/14,37
平鎮,2021/9/15,40
龍潭,2021/9/15,38
觀音,2021/9/15,45
大園,2021/9/15,48
桃園,2021/9/15,40
中壢,2021/9/15,57
觀音,2021/9/16,61
中壢,2021/9/16,66
龍潭,2021/9/16,61
平鎮,2021/9/16,49
桃園,2021/9/16,61
大園,2021/9/16,61
中壢,2021/9/17,64
桃園,2021/9/17,87
大園,2021/9/17,93
觀音,2021/9/17,108
平鎮,2021/9/17,100
龍潭,2021/9/17,100
桃園,2021/9/18,51
觀音,2021/9/18,48
平鎮,2021/9/18,61
中壢,2021/9/18,55
龍潭,2021/9/18,84
大園,2021/9/18,43
桃園,2021/9/19,53
中壢,2021/9/19,55
龍潭,2021/9/19,71
平鎮,2021/9/19,54
觀音,2021/9/19,49
大園,2021/9/19,54
龍潭,2021/9/20,55
觀音,2021/9/20,44
大園,2021/9/20,48
